Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): testingLargerRadiusPPO
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): radius is larger so less sparse and want to see if A2C works better than PPO
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): PPO
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
Episode:13 Score:99616.0 Successful:True Number of Steps:200
Episode:14 Score:99790.75 Successful:True Number of Steps:167
Episode:15 Score:99800.0 Successful:True Number of Steps:205
Episode:16 Score:99749.75 Successful:True Number of Steps:166
Episode:17 Score:-798.0 Successful:False Number of Steps:500
Episode:18 Score:99791.25 Successful:True Number of Steps:158
Episode:19 Score:99568.5 Successful:True Number of Steps:300
Episode:20 Score:-5339.0 Successful:False Number of Steps:500
Episode:21 Score:99960.0 Successful:True Number of Steps:43
Episode:22 Score:99194.75 Successful:True Number of Steps:245
Episode:23 Score:99945.0 Successful:True Number of Steps:50
Episode:24 Score:96662.0 Successful:True Number of Steps:488
Episode:25 Score:99749.75 Successful:True Number of Steps:214
Episode:26 Score:97770.5 Successful:True Number of Steps:267
Episode:27 Score:-6582.0 Successful:False Number of Steps:500
Episode:28 Score:-761.25 Successful:False Number of Steps:500
Episode:29 Score:99881.75 Successful:True Number of Steps:110
Episode:30 Score:99332.5 Successful:True Number of Steps:245
number successful: 24
RESULTS FOR STARTING POSITION: (5,7)
Episode:1 Score:99386.25 Successful:True Number of Steps:52
Episode:2 Score:-4019.25 Successful:False Number of Steps:500
Episode:3 Score:99403.75 Successful:True Number of Steps:92
Episode:4 Score:99927.25 Successful:True Number of Steps:90
Episode:5 Score:98840.5 Successful:True Number of Steps:71
Episode:6 Score:99878.0 Successful:True Number of Steps:28
Episode:7 Score:99932.25 Successful:True Number of Steps:70
Episode:8 Score:99951.5 Successful:True Number of Steps:63
Episode:9 Score:99979.75 Successful:True Number of Steps:62
Episode:10 Score:-7607.75 Successful:False Number of Steps:500
Episode:11 Score:99576.25 Successful:True Number of Steps:40
Episode:12 Score:-2939.25 Successful:False Number of Steps:500
Episode:13 Score:-5286.0 Successful:False Number of Steps:500
Episode:14 Score:-5684.0 Successful:False Number of Steps:500
Episode:15 Score:99773.5 Successful:True Number of Steps:33
Episode:16 Score:99950.0 Successful:True Number of Steps:39
Episode:17 Score:99910.75 Successful:True Number of Steps:80
Episode:18 Score:99752.5 Successful:True Number of Steps:49
Episode:19 Score:-4532.25 Successful:False Number of Steps:500
Episode:20 Score:-5554.0 Successful:False Number of Steps:500
Episode:21 Score:-722.5 Successful:False Number of Steps:500
Episode:22 Score:99897.75 Successful:True Number of Steps:16
Episode:23 Score:99972.25 Successful:True Number of Steps:31
Episode:24 Score:-6178.75 Successful:False Number of Steps:500
Episode:25 Score:-5950.5 Successful:False Number of Steps:500
Episode:26 Score:99977.5 Successful:True Number of Steps:51
Episode:27 Score:-640.75 Successful:False Number of Steps:500
Episode:28 Score:99971.5 Successful:True Number of Steps:35
Episode:29 Score:-8413.5 Successful:False Number of Steps:500
Episode:30 Score:99458.0 Successful:True Number of Steps:270
number successful: 18
RESULTS FOR STARTING POSITION: (15,16)
Episode:1 Score:-1445.75 Successful:False Number of Steps:500
Episode:2 Score:-661.0 Successful:False Number of Steps:500
Episode:3 Score:-644.0 Successful:False Number of Steps:500
Episode:4 Score:-769.75 Successful:False Number of Steps:500
Episode:5 Score:-1949.0 Successful:False Number of Steps:500
Episode:6 Score:-676.5 Successful:False Number of Steps:500
Episode:7 Score:-2214.0 Successful:False Number of Steps:500
Episode:8 Score:99766.75 Successful:True Number of Steps:209
Episode:9 Score:-651.0 Successful:False Number of Steps:500
Episode:10 Score:99237.0 Successful:True Number of Steps:338
Episode:11 Score:-2326.5 Successful:False Number of Steps:500
Episode:12 Score:99528.75 Successful:True Number of Steps:359
Episode:13 Score:-1674.0 Successful:False Number of Steps:500
Episode:14 Score:-619.25 Successful:False Number of Steps:500
Episode:15 Score:99952.5 Successful:True Number of Steps:46
Episode:16 Score:99748.5 Successful:True Number of Steps:220
Episode:17 Score:-2674.25 Successful:False Number of Steps:500
Episode:18 Score:-1402.75 Successful:False Number of Steps:500
Episode:19 Score:-6994.0 Successful:False Number of Steps:500
Episode:20 Score:-774.5 Successful:False Number of Steps:500
Episode:21 Score:-685.75 Successful:False Number of Steps:500
Episode:22 Score:-714.5 Successful:False Number of Steps:500
Episode:23 Score:-735.5 Successful:False Number of Steps:500
Episode:24 Score:-4253.0 Successful:False Number of Steps:500
Episode:25 Score:99396.25 Successful:True Number of Steps:449
Episode:26 Score:99909.5 Successful:True Number of Steps:75
Episode:27 Score:-723.25 Successful:False Number of Steps:500
Episode:28 Score:-678.5 Successful:False Number of Steps:500
Episode:29 Score:99847.25 Successful:True Number of Steps:128
Episode:30 Score:99695.25 Successful:True Number of Steps:244
number successful: 9
RESULTS FOR STARTING POSITION: (3,13)
Episode:1 Score:99760.0 Successful:True Number of Steps:161
Episode:2 Score:98184.5 Successful:True Number of Steps:333
Episode:3 Score:-4365.75 Successful:False Number of Steps:500
Episode:4 Score:99266.75 Successful:True Number of Steps:63
Episode:5 Score:99799.25 Successful:True Number of Steps:25
Episode:6 Score:99190.75 Successful:True Number of Steps:47
Episode:7 Score:99572.0 Successful:True Number of Steps:158
Episode:8 Score:100000 Successful:True Number of Steps:5
Episode:9 Score:99970 Successful:True Number of Steps:21
Episode:10 Score:96474.5 Successful:True Number of Steps:318
Episode:11 Score:97149.5 Successful:True Number of Steps:277
Episode:12 Score:98887.75 Successful:True Number of Steps:32
Episode:13 Score:97498.5 Successful:True Number of Steps:352
Episode:14 Score:99800 Successful:True Number of Steps:13
