Episode:10 Score:99981.25 Successful:True Number of Steps:23
Episode:11 Score:99989.5 Successful:True Number of Steps:21
Episode:12 Score:99986.0 Successful:True Number of Steps:22
Episode:13 Score:99987.25 Successful:True Number of Steps:21
Episode:14 Score:99986.5 Successful:True Number of Steps:20
Episode:15 Score:99983.5 Successful:True Number of Steps:21
Episode:16 Score:99977.5 Successful:True Number of Steps:28
Episode:17 Score:99984.5 Successful:True Number of Steps:22
Episode:18 Score:99989.5 Successful:True Number of Steps:19
Episode:19 Score:99983.75 Successful:True Number of Steps:25
Episode:20 Score:99986.5 Successful:True Number of Steps:20
Episode:21 Score:99986.5 Successful:True Number of Steps:20
Episode:22 Score:99989.5 Successful:True Number of Steps:19
Episode:23 Score:99986.5 Successful:True Number of Steps:20
Episode:24 Score:99986.5 Successful:True Number of Steps:20
Episode:25 Score:99989.5 Successful:True Number of Steps:19
Episode:26 Score:99989.5 Successful:True Number of Steps:19
Episode:27 Score:99984.5 Successful:True Number of Steps:27
Episode:28 Score:99986.5 Successful:True Number of Steps:20
Episode:29 Score:99986.5 Successful:True Number of Steps:20
Episode:30 Score:99988.0 Successful:True Number of Steps:21
number successful: 30
RESULTS FOR STARTING POSITION: (3,25)
Episode:1 Score:-156.75 Successful:False Number of Steps:500
Episode:2 Score:-167.25 Successful:False Number of Steps:500
Episode:3 Score:99989.25 Successful:True Number of Steps:17
Episode:4 Score:-163.25 Successful:False Number of Steps:500
Episode:5 Score:99920.0 Successful:True Number of Steps:207
Episode:6 Score:-169.0 Successful:False Number of Steps:500
Episode:7 Score:-170.25 Successful:False Number of Steps:500
Episode:8 Score:-161.0 Successful:False Number of Steps:500
Episode:9 Score:-181.25 Successful:False Number of Steps:500
Episode:10 Score:-196.0 Successful:False Number of Steps:500
Episode:11 Score:-181.25 Successful:False Number of Steps:500
Episode:12 Score:-174.25 Successful:False Number of Steps:500
Episode:13 Score:99977.25 Successful:True Number of Steps:27
Episode:14 Score:-191.5 Successful:False Number of Steps:500
Episode:15 Score:-170.25 Successful:False Number of Steps:500
Episode:16 Score:-164.5 Successful:False Number of Steps:500
Episode:17 Score:-159.75 Successful:False Number of Steps:500
Episode:18 Score:-162.25 Successful:False Number of Steps:500
Episode:19 Score:-177.0 Successful:False Number of Steps:500
Episode:20 Score:-159.25 Successful:False Number of Steps:500
Episode:21 Score:-191.75 Successful:False Number of Steps:500
Episode:22 Score:-179.75 Successful:False Number of Steps:500
Episode:23 Score:-187.0 Successful:False Number of Steps:500
Episode:24 Score:-194.25 Successful:False Number of Steps:500
Episode:25 Score:-171.75 Successful:False Number of Steps:500
Episode:26 Score:-192.25 Successful:False Number of Steps:500
