Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): s
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): s
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): s
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:7 Score:8379.555168434845 Successful:False Number of Steps:500
Episode:8 Score:7448.552497419093 Successful:False Number of Steps:500
Episode:9 Score:8084.0187682082915 Successful:False Number of Steps:500
Episode:10 Score:8703.051815474853 Successful:False Number of Steps:500
Episode:11 Score:8806.570373315051 Successful:False Number of Steps:500
Episode:12 Score:8453.33780253631 Successful:False Number of Steps:500
Episode:13 Score:8374.486463021482 Successful:False Number of Steps:500
Episode:14 Score:7959.875555913931 Successful:False Number of Steps:500
Episode:15 Score:8463.4157655351 Successful:False Number of Steps:500
Episode:16 Score:8782.7671007642 Successful:False Number of Steps:500
Episode:17 Score:8141.758747675996 Successful:False Number of Steps:500
Episode:18 Score:8550.555707887579 Successful:False Number of Steps:500
Episode:19 Score:8633.661228581406 Successful:False Number of Steps:500
Episode:20 Score:8439.924836628785 Successful:False Number of Steps:500
Episode:21 Score:9213.232201307746 Successful:False Number of Steps:500
Episode:22 Score:8295.165276320424 Successful:False Number of Steps:500
Episode:23 Score:9174.15518681382 Successful:False Number of Steps:500
Episode:24 Score:7590.807538234107 Successful:False Number of Steps:500
Episode:25 Score:8614.30415334423 Successful:False Number of Steps:500
Episode:26 Score:8789.278982911568 Successful:False Number of Steps:500
Episode:27 Score:8283.541263908932 Successful:False Number of Steps:500
Episode:28 Score:7818.669953728019 Successful:False Number of Steps:500
Episode:29 Score:8669.674242449742 Successful:False Number of Steps:500
Episode:30 Score:8748.2750422 Successful:False Number of Steps:500
number successful: 1
RESULTS FOR STARTING POSITION: (3,10)
Episode:1 Score:100070.90669698153 Successful:True Number of Steps:7
Episode:2 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:3 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:4 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:5 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:6 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:7 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:8 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:9 Score:100040.56769321987 Successful:True Number of Steps:5
Episode:10 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:11 Score:100070.8293173637 Successful:True Number of Steps:6
Episode:12 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:13 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:14 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:15 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:16 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:17 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:18 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:19 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:20 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:21 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:22 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:23 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:24 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:25 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:26 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:27 Score:100101.5123412408 Successful:True Number of Steps:8
Episode:28 Score:100043.56769321987 Successful:True Number of Steps:4
Episode:29 Score:100100.87764208084 Successful:True Number of Steps:8
Episode:30 Score:100072.92507981788 Successful:True Number of Steps:6
number successful: 30
RESULTS FOR STARTING POSITION: (18,9)
Episode:1 Score:7971.348256928224 Successful:False Number of Steps:500
Episode:2 Score:100090.79912893086 Successful:True Number of Steps:6
Episode:3 Score:101121.80985417566 Successful:True Number of Steps:64
Episode:4 Score:8410.458610821079 Successful:False Number of Steps:500
Episode:5 Score:100460.59978486682 Successful:True Number of Steps:26
Episode:6 Score:7095.158133142438 Successful:False Number of Steps:500
Episode:7 Score:100944.09727925046 Successful:True Number of Steps:52
Episode:8 Score:100573.07469957552 Successful:True Number of Steps:32
Episode:9 Score:102161.11334253257 Successful:True Number of Steps:120
Episode:10 Score:100532.9765787567 Successful:True Number of Steps:31
Episode:11 Score:7593.780480698813 Successful:False Number of Steps:500
Episode:12 Score:7766.429204387871 Successful:False Number of Steps:500
Episode:13 Score:100164.99537056849 Successful:True Number of Steps:10
Episode:14 Score:8457.729425727843 Successful:False Number of Steps:500
Episode:15 Score:6985.861098264686 Successful:False Number of Steps:500
Episode:16 Score:100350.4859746626 Successful:True Number of Steps:20
Episode:17 Score:100460.59978486682 Successful:True Number of Steps:26
Episode:18 Score:8552.7328979077 Successful:False Number of Steps:500
Episode:19 Score:100053.70100811204 Successful:True Number of Steps:4
Episode:20 Score:8274.475560877054 Successful:False Number of Steps:500
Episode:21 Score:101161.94934648121 Successful:True Number of Steps:65
Episode:22 Score:7932.882632403917 Successful:False Number of Steps:500
Episode:23 Score:8180.17802208572 Successful:False Number of Steps:500
Episode:24 Score:100973.9734763303 Successful:True Number of Steps:56
Episode:25 Score:101631.0174420601 Successful:True Number of Steps:94
Episode:26 Score:8048.874725577432 Successful:False Number of Steps:500
Episode:27 Score:101085.3092102735 Successful:True Number of Steps:62
Episode:28 Score:100053.70100811204 Successful:True Number of Steps:4
Episode:29 Score:100276.28973302495 Successful:True Number of Steps:16
Episode:30 Score:8191.667010442524 Successful:False Number of Steps:500
number successful: 17
RESULTS FOR STARTING POSITION: (19,28)
Episode:1 Score:99994.39336992158 Successful:True Number of Steps:8
Episode:2 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:3 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:4 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:5 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:6 Score:99994.28465719297 Successful:True Number of Steps:6
Episode:7 Score:99998.26598296156 Successful:True Number of Steps:4
Episode:8 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:9 Score:99998.26598296156 Successful:True Number of Steps:4
Episode:10 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:11 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:12 Score:99996.10535062097 Successful:True Number of Steps:5
Episode:13 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:14 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:15 Score:99998.17586441472 Successful:True Number of Steps:10
Episode:16 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:17 Score:99996.10535062097 Successful:True Number of Steps:5
Episode:18 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:19 Score:99996.10535062097 Successful:True Number of Steps:5
Episode:20 Score:99996.10535062097 Successful:True Number of Steps:5
Episode:21 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:22 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:23 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:24 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:25 Score:99993.10535062097 Successful:True Number of Steps:6
Episode:26 Score:99994.28465719297 Successful:True Number of Steps:6
Episode:27 Score:99994.28465719297 Successful:True Number of Steps:6
Episode:28 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:29 Score:99999.10535062097 Successful:True Number of Steps:4
Episode:30 Score:99999.10535062097 Successful:True Number of Steps:4
number successful: 30
RESULTS FOR STARTING POSITION: (1,10)
Episode:1 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:2 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:3 Score:100042.40767260322 Successful:True Number of Steps:4
Episode:4 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:5 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:6 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:7 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:8 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:9 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:10 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:11 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:12 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:13 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:14 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:15 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:16 Score:100105.20073260923 Successful:True Number of Steps:10
Episode:17 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:18 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:19 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:20 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:21 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:22 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:23 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:24 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:25 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:26 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:27 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:28 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:29 Score:100013.9330981388 Successful:True Number of Steps:2
Episode:30 Score:100042.40767260322 Successful:True Number of Steps:4
number successful: 30
RESULTS FOR STARTING POSITION: (21,28)
Episode:1 Score:8364.720766262186 Successful:False Number of Steps:500
Episode:2 Score:7865.827104777955 Successful:False Number of Steps:500
Episode:3 Score:7623.0363905507065 Successful:False Number of Steps:500
Episode:4 Score:4198.431349281666 Successful:False Number of Steps:500
Episode:5 Score:8397.756022674763 Successful:False Number of Steps:500
Episode:6 Score:7344.201035809884 Successful:False Number of Steps:500
Episode:7 Score:8356.590632014912 Successful:False Number of Steps:500
Episode:8 Score:4635.5427334204405 Successful:False Number of Steps:500
Episode:9 Score:7069.396676296397 Successful:False Number of Steps:500
Episode:10 Score:6083.54167348711 Successful:False Number of Steps:500
Episode:11 Score:8361.861589159735 Successful:False Number of Steps:500
Episode:12 Score:7573.373876407265 Successful:False Number of Steps:500
Episode:13 Score:5523.533167476945 Successful:False Number of Steps:500
Episode:14 Score:7516.56393117658 Successful:False Number of Steps:500
Episode:15 Score:8377.121993322791 Successful:False Number of Steps:500
Episode:16 Score:5365.460316605557 Successful:False Number of Steps:500
Episode:17 Score:5930.561706929136 Successful:False Number of Steps:500
Episode:18 Score:7899.385317278476 Successful:False Number of Steps:500
Episode:19 Score:8419.260658191617 Successful:False Number of Steps:500
Episode:20 Score:7329.502098648808 Successful:False Number of Steps:500
Episode:21 Score:102402.42637488703 Successful:True Number of Steps:252
Episode:22 Score:4364.536420633247 Successful:False Number of Steps:500
Episode:23 Score:4660.605966761776 Successful:False Number of Steps:500
Episode:24 Score:100012.4245081 Successful:True Number of Steps:12
Episode:25 Score:4630.572418639486 Successful:False Number of Steps:500
Episode:26 Score:6468.398369164803 Successful:False Number of Steps:500
Episode:27 Score:5948.492509499649 Successful:False Number of Steps:500
Episode:28 Score:7332.039267956968 Successful:False Number of Steps:500
Episode:29 Score:5997.763618057595 Successful:False Number of Steps:500
Episode:30 Score:4041.30823825073 Successful:False Number of Steps:500
number successful: 2
--------------------------------
average percent successful (APS): 0.59
average number of steps of episodes that succeeded (ANSES): 38.83050847457627
