Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): df
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): sf
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): sadf
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:22 Score:-2487.2589974939488 Successful:False Number of Steps:500
Episode:23 Score:-2987.03140211002 Successful:False Number of Steps:500
Episode:24 Score:-2719.932057312498 Successful:False Number of Steps:500
Episode:25 Score:-2903.605755184854 Successful:False Number of Steps:500
Episode:26 Score:-4335.861710969616 Successful:False Number of Steps:500
Episode:27 Score:-2747.713469846261 Successful:False Number of Steps:500
Episode:28 Score:-2489.655326315745 Successful:False Number of Steps:500
Episode:29 Score:-2572.349282013858 Successful:False Number of Steps:500
Episode:30 Score:-2924.7716443801537 Successful:False Number of Steps:500
number successful: 0
RESULTS FOR STARTING POSITION: (2,23)
Episode:1 Score:-2395.4778367607078 Successful:False Number of Steps:500
Episode:2 Score:-2888.8580643161727 Successful:False Number of Steps:500
Episode:3 Score:-2619.5034147247843 Successful:False Number of Steps:500
Episode:4 Score:-3260.3283759489627 Successful:False Number of Steps:500
Episode:5 Score:-3049.659077006718 Successful:False Number of Steps:500
Episode:6 Score:-3160.1924487880833 Successful:False Number of Steps:500
Episode:7 Score:-3259.6046693385474 Successful:False Number of Steps:500
Episode:8 Score:-3061.387852708579 Successful:False Number of Steps:500
Episode:9 Score:-3357.7807281936584 Successful:False Number of Steps:500
Episode:10 Score:-3287.9430972211867 Successful:False Number of Steps:500
Episode:11 Score:-3085.5405253865165 Successful:False Number of Steps:500
Episode:12 Score:-3046.8805913164647 Successful:False Number of Steps:500
Episode:13 Score:-3294.4837209165266 Successful:False Number of Steps:500
Episode:14 Score:-2754.935237423067 Successful:False Number of Steps:500
Episode:15 Score:-3572.8446795176133 Successful:False Number of Steps:500
Episode:16 Score:-2906.2381770323473 Successful:False Number of Steps:500
Episode:17 Score:-3341.44088105358 Successful:False Number of Steps:500
Episode:18 Score:-3395.671234995061 Successful:False Number of Steps:500
Episode:19 Score:-3275.4817377568784 Successful:False Number of Steps:500
Episode:20 Score:-3616.138738906491 Successful:False Number of Steps:500
Episode:21 Score:-3023.745830744532 Successful:False Number of Steps:500
Episode:22 Score:-3754.4278130202506 Successful:False Number of Steps:500
Episode:23 Score:-2880.3250165363525 Successful:False Number of Steps:500
Episode:24 Score:-3292.6077859443076 Successful:False Number of Steps:500
Episode:25 Score:-3755.913225658666 Successful:False Number of Steps:500
Episode:26 Score:-3169.864933620992 Successful:False Number of Steps:500
Episode:27 Score:-2294.4553767186776 Successful:False Number of Steps:500
Episode:28 Score:-3085.710834256467 Successful:False Number of Steps:500
Episode:29 Score:-3281.253578785593 Successful:False Number of Steps:500
Episode:30 Score:-3475.470928722627 Successful:False Number of Steps:500
number successful: 0
RESULTS FOR STARTING POSITION: (11,15)
Episode:1 Score:-2965.109350426602 Successful:False Number of Steps:500
Episode:2 Score:-3569.866646994303 Successful:False Number of Steps:500
Episode:3 Score:-3716.933284235118 Successful:False Number of Steps:500
Episode:4 Score:-3437.8774989521294 Successful:False Number of Steps:500
Episode:5 Score:-3723.5000498842915 Successful:False Number of Steps:500
Episode:6 Score:-5029.936190641497 Successful:False Number of Steps:500
Episode:7 Score:-3353.3078280720924 Successful:False Number of Steps:500
Episode:8 Score:-4793.605021025717 Successful:False Number of Steps:500
Episode:9 Score:-3053.046131186895 Successful:False Number of Steps:500
Episode:10 Score:-3554.5339921469167 Successful:False Number of Steps:500
Episode:11 Score:-3117.6700177710145 Successful:False Number of Steps:500
Episode:12 Score:-4444.382841509689 Successful:False Number of Steps:500
Episode:13 Score:-3886.2606069830963 Successful:False Number of Steps:500
Episode:14 Score:-4096.485865274592 Successful:False Number of Steps:500
Episode:15 Score:-4009.8464206199806 Successful:False Number of Steps:500
Episode:16 Score:-3630.814622264857 Successful:False Number of Steps:500
Episode:17 Score:-3152.703328374456 Successful:False Number of Steps:500
Episode:18 Score:-3346.350297792487 Successful:False Number of Steps:500
Episode:19 Score:-3249.3264071987473 Successful:False Number of Steps:500
Episode:20 Score:-4871.558350550106 Successful:False Number of Steps:500
Episode:21 Score:-3348.6601810885363 Successful:False Number of Steps:500
Episode:22 Score:-3072.7368441476888 Successful:False Number of Steps:500
Episode:23 Score:-3792.286306962612 Successful:False Number of Steps:500
Episode:24 Score:-5351.489819742567 Successful:False Number of Steps:500
Episode:25 Score:-3295.4074659604244 Successful:False Number of Steps:500
Episode:26 Score:-3440.0721095771482 Successful:False Number of Steps:500
Episode:27 Score:-3288.7133447950127 Successful:False Number of Steps:500
Episode:28 Score:-3202.0648903541196 Successful:False Number of Steps:500
Episode:29 Score:-3386.0189938549324 Successful:False Number of Steps:500
Episode:30 Score:-3496.610854401918 Successful:False Number of Steps:500
number successful: 0
RESULTS FOR STARTING POSITION: (18,16)
Episode:1 Score:-3389.385034571992 Successful:False Number of Steps:500
