Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): tTravisPositive
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): travis code but make hyperparameter positive
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): A2C
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:23 Score:-15228.805187404449 Successful:False Number of Steps:500
Episode:24 Score:-16565.956753789764 Successful:False Number of Steps:500
Episode:25 Score:-14091.513160536208 Successful:False Number of Steps:500
Episode:26 Score:-22364.55637125499 Successful:False Number of Steps:500
Episode:27 Score:-13335.706686985724 Successful:False Number of Steps:500
Episode:28 Score:-13165.155101344015 Successful:False Number of Steps:500
Episode:29 Score:-16819.87322620119 Successful:False Number of Steps:500
Episode:30 Score:-18909.706849596703 Successful:False Number of Steps:500
number successful: 0
RESULTS FOR STARTING POSITION: (15,13)
Episode:1 Score:-12846.527582402525 Successful:False Number of Steps:500
Episode:2 Score:-14543.207765083474 Successful:False Number of Steps:500
Episode:3 Score:-8260.82023468367 Successful:False Number of Steps:500
Episode:4 Score:-9300.828114061274 Successful:False Number of Steps:500
Episode:5 Score:-13812.868673325433 Successful:False Number of Steps:500
Episode:6 Score:-19171.509113263546 Successful:False Number of Steps:500
Episode:7 Score:89193.6766520041 Successful:True Number of Steps:382
Episode:8 Score:-12407.428517231547 Successful:False Number of Steps:500
Episode:9 Score:-11314.131789241766 Successful:False Number of Steps:500
Episode:10 Score:-12419.3264181972 Successful:False Number of Steps:500
Episode:11 Score:-11304.066454907892 Successful:False Number of Steps:500
Episode:12 Score:-6951.547738980769 Successful:False Number of Steps:500
Episode:13 Score:-12570.91755088694 Successful:False Number of Steps:500
Episode:14 Score:-11548.114138744591 Successful:False Number of Steps:500
Episode:15 Score:-9625.465988712096 Successful:False Number of Steps:500
Episode:16 Score:-13019.529957116238 Successful:False Number of Steps:500
Episode:17 Score:-14551.014288731245 Successful:False Number of Steps:500
Episode:18 Score:-13332.949006146395 Successful:False Number of Steps:500
Episode:19 Score:-21981.352549296666 Successful:False Number of Steps:500
Episode:20 Score:-12134.529612314387 Successful:False Number of Steps:500
Episode:21 Score:-22719.183030591535 Successful:False Number of Steps:500
Episode:22 Score:-17204.001370309845 Successful:False Number of Steps:500
Episode:23 Score:-15978.438219942207 Successful:False Number of Steps:500
Episode:24 Score:-17102.994245026053 Successful:False Number of Steps:500
Episode:25 Score:-14541.474968513818 Successful:False Number of Steps:500
Episode:26 Score:-13102.760463660963 Successful:False Number of Steps:500
Episode:27 Score:-10796.484304748032 Successful:False Number of Steps:500
Episode:28 Score:-14824.990998882307 Successful:False Number of Steps:500
Episode:29 Score:-7683.972545704566 Successful:False Number of Steps:500
Episode:30 Score:-6922.370798549615 Successful:False Number of Steps:500
number successful: 1
RESULTS FOR STARTING POSITION: (8,26)
Episode:1 Score:-18269.169068078503 Successful:False Number of Steps:500
Episode:2 Score:87866.88823493995 Successful:True Number of Steps:384
Episode:3 Score:-10184.833041644002 Successful:False Number of Steps:500
Episode:4 Score:-18048.865431161015 Successful:False Number of Steps:500
Episode:5 Score:-11662.474457919005 Successful:False Number of Steps:500
Episode:6 Score:-15634.321367308617 Successful:False Number of Steps:500
Episode:7 Score:-11411.008214707244 Successful:False Number of Steps:500
Episode:8 Score:84028.47693720285 Successful:True Number of Steps:438
Episode:9 Score:74563.94611094442 Successful:True Number of Steps:412
Episode:10 Score:-12707.973374377905 Successful:False Number of Steps:500
Episode:11 Score:-7814.941434352439 Successful:False Number of Steps:500
Episode:12 Score:-10639.219713202689 Successful:False Number of Steps:500
Episode:13 Score:-15594.875021198137 Successful:False Number of Steps:500
Episode:14 Score:-9176.606257661288 Successful:False Number of Steps:500
Episode:15 Score:-13144.73213021692 Successful:False Number of Steps:500
Episode:16 Score:-9593.245888668504 Successful:False Number of Steps:500
Episode:17 Score:-14471.223857597437 Successful:False Number of Steps:500
Episode:18 Score:-16198.418544870281 Successful:False Number of Steps:500
Episode:19 Score:-8446.195736102185 Successful:False Number of Steps:500
Episode:20 Score:-16663.892026209513 Successful:False Number of Steps:500
Episode:21 Score:-7167.410884402997 Successful:False Number of Steps:500
Episode:22 Score:88876.08945099142 Successful:True Number of Steps:264
Episode:23 Score:-11665.99770743749 Successful:False Number of Steps:500
Episode:24 Score:-22118.9268772096 Successful:False Number of Steps:500
Episode:25 Score:88812.50499969721 Successful:True Number of Steps:239
Episode:26 Score:-15742.16348350092 Successful:False Number of Steps:500
Episode:27 Score:-15066.090797126582 Successful:False Number of Steps:500
Episode:28 Score:81947.23767179967 Successful:True Number of Steps:499
Episode:29 Score:-19762.39459678434 Successful:False Number of Steps:500
Episode:30 Score:80342.57256248964 Successful:True Number of Steps:465
number successful: 7
RESULTS FOR STARTING POSITION: (16,4)
Episode:1 Score:94668.43483110481 Successful:True Number of Steps:259
Episode:2 Score:96843.78977293601 Successful:True Number of Steps:174
Episode:3 Score:98086.514998725 Successful:True Number of Steps:82
Episode:4 Score:97466.73006652866 Successful:True Number of Steps:51
Episode:5 Score:97431.98099530007 Successful:True Number of Steps:56
Episode:6 Score:98185.8701901555 Successful:True Number of Steps:48
Episode:7 Score:93886.16567741377 Successful:True Number of Steps:354
Episode:8 Score:98298.02482925757 Successful:True Number of Steps:87
Episode:9 Score:97887.7129052097 Successful:True Number of Steps:59
Episode:10 Score:97390.82357528535 Successful:True Number of Steps:155
Episode:11 Score:97985.23895017715 Successful:True Number of Steps:30
Episode:12 Score:97968.44520783114 Successful:True Number of Steps:39
Episode:13 Score:96446.46824421617 Successful:True Number of Steps:154
Episode:14 Score:97939.37744789312 Successful:True Number of Steps:50
Episode:15 Score:98538.02482925757 Successful:True Number of Steps:7
Episode:16 Score:96109.97068518926 Successful:True Number of Steps:329
Episode:17 Score:98454.02482925757 Successful:True Number of Steps:35
Episode:18 Score:96846.56739390391 Successful:True Number of Steps:198
Episode:19 Score:97304.11542072413 Successful:True Number of Steps:102
Episode:20 Score:96189.78599999881 Successful:True Number of Steps:159
Episode:21 Score:97388.53484423249 Successful:True Number of Steps:87
Episode:22 Score:96716.0688661945 Successful:True Number of Steps:53
Episode:23 Score:96738.3970537917 Successful:True Number of Steps:123
Episode:24 Score:-8773.08421235718 Successful:False Number of Steps:500
Episode:25 Score:98460.02482925757 Successful:True Number of Steps:33
Episode:26 Score:94796.12106699162 Successful:True Number of Steps:212
Episode:27 Score:97065.91384921547 Successful:True Number of Steps:260
Episode:28 Score:98376.02482925757 Successful:True Number of Steps:61
Episode:29 Score:95162.85247730817 Successful:True Number of Steps:320
Episode:30 Score:97867.47747101118 Successful:True Number of Steps:68
number successful: 29
RESULTS FOR STARTING POSITION: (9,3)
Episode:1 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:2 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:3 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:4 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:5 Score:-11894.249839887545 Successful:False Number of Steps:500
Episode:6 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:7 Score:84032.46228763025 Successful:True Number of Steps:475
Episode:8 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:9 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:10 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:11 Score:99066.95422527076 Successful:True Number of Steps:5
Episode:12 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:13 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:14 Score:98607.01618348186 Successful:True Number of Steps:15
Episode:15 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:16 Score:-10209.87791615905 Successful:False Number of Steps:500
Episode:17 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:18 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:19 Score:98603.71554912045 Successful:True Number of Steps:18
Episode:20 Score:98632.02886280857 Successful:True Number of Steps:7
Episode:21 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:22 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:23 Score:99079.66709920813 Successful:True Number of Steps:6
Episode:24 Score:99079.66709920813 Successful:True Number of Steps:6
Episode:25 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:26 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:27 Score:99082.66709920813 Successful:True Number of Steps:5
Episode:28 Score:98625.50471116714 Successful:True Number of Steps:7
Episode:29 Score:99066.95422527076 Successful:True Number of Steps:5
Episode:30 Score:99082.66709920813 Successful:True Number of Steps:5
number successful: 28
--------------------------------
average percent successful (APS): 0.33333333333333337
average number of steps of episodes that succeeded (ANSES): 106.93
