Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): 
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): 
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): 
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
RESULTS FOR STARTING POSITION: (3,0)
Episode:1 Score:-2677.7699278678833 Successful:False Number of Steps:500
Episode:2 Score:99438.37767002 Successful:True Number of Steps:65
Episode:3 Score:99544.46520391184 Successful:True Number of Steps:63
Episode:4 Score:99767.69565866076 Successful:True Number of Steps:8
Episode:5 Score:99690.28788777835 Successful:True Number of Steps:13
Episode:6 Score:99683.48037753625 Successful:True Number of Steps:36
Episode:7 Score:99558.06130161736 Successful:True Number of Steps:39
Episode:8 Score:99265.20592176772 Successful:True Number of Steps:78
Episode:9 Score:96594.82692879104 Successful:True Number of Steps:500
Episode:10 Score:99399.4519726639 Successful:True Number of Steps:92
Episode:11 Score:-2781.459552312516 Successful:False Number of Steps:500
Episode:12 Score:99324.46520391184 Successful:True Number of Steps:104
Episode:13 Score:99484.48037753625 Successful:True Number of Steps:70
Episode:14 Score:97767.56631207987 Successful:True Number of Steps:274
Episode:15 Score:99722.69565866076 Successful:True Number of Steps:23
Episode:16 Score:99161.06970643511 Successful:True Number of Steps:132
Episode:17 Score:98922.40052241836 Successful:True Number of Steps:188
Episode:18 Score:99672.35241334223 Successful:True Number of Steps:20
Episode:19 Score:99661.69565866076 Successful:True Number of Steps:11
Episode:20 Score:99767.69565866076 Successful:True Number of Steps:8
Episode:21 Score:99764.69565866076 Successful:True Number of Steps:9
Episode:22 Score:98598.92622269431 Successful:True Number of Steps:284
Episode:23 Score:99522.07647524177 Successful:True Number of Steps:38
Episode:24 Score:-3035.964062480863 Successful:False Number of Steps:500
Episode:25 Score:99478.48037753625 Successful:True Number of Steps:72
Episode:26 Score:99725.69565866076 Successful:True Number of Steps:22
Episode:27 Score:99486.48037753625 Successful:True Number of Steps:37
Episode:28 Score:99584.27271415394 Successful:True Number of Steps:29
Episode:29 Score:99734.69565866076 Successful:True Number of Steps:19
Episode:30 Score:99698.69565866076 Successful:True Number of Steps:31
number successful: 27
RESULTS FOR STARTING POSITION: (0,3)
Episode:1 Score:99671.30871937727 Successful:True Number of Steps:21
Episode:2 Score:98556.53407841094 Successful:True Number of Steps:205
Episode:3 Score:99390.60262617 Successful:True Number of Steps:63
Episode:4 Score:98773.44185618366 Successful:True Number of Steps:114
Episode:5 Score:99525.14794447465 Successful:True Number of Steps:49
Episode:6 Score:99496.01481258453 Successful:True Number of Steps:34
Episode:7 Score:99765.01481258453 Successful:True Number of Steps:9
Episode:8 Score:99233.06835229047 Successful:True Number of Steps:96
Episode:9 Score:99018.06835229047 Successful:True Number of Steps:103
