Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): travis
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): travis
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): A2C
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:27 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:28 Score:101098.64200769327 Successful:True Number of Steps:6
Episode:29 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:30 Score:100650.17926095119 Successful:True Number of Steps:4
number successful: 30
RESULTS FOR STARTING POSITION: (21,6)
Episode:1 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:2 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:3 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:4 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:5 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:6 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:7 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:8 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:9 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:10 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:11 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:12 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:13 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:14 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:15 Score:100255.06244097668 Successful:True Number of Steps:2
Episode:16 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:17 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:18 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:19 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:20 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:21 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:22 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:23 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:24 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:25 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:26 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:27 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:28 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:29 Score:100253.85920222847 Successful:True Number of Steps:2
Episode:30 Score:100253.85920222847 Successful:True Number of Steps:2
number successful: 30
RESULTS FOR STARTING POSITION: (3,0)
Episode:1 Score:108234.50956015769 Successful:True Number of Steps:40
Episode:2 Score:108377.43330887082 Successful:True Number of Steps:37
Episode:3 Score:158615.05329463677 Successful:True Number of Steps:270
Episode:4 Score:106041.62506195663 Successful:True Number of Steps:27
Episode:5 Score:115753.32047226514 Successful:True Number of Steps:72
Episode:6 Score:105100.60645145105 Successful:True Number of Steps:25
Episode:7 Score:104639.09714619827 Successful:True Number of Steps:21
Episode:8 Score:103230.78701819263 Successful:True Number of Steps:15
Episode:9 Score:132585.6011394016 Successful:True Number of Steps:154
Episode:10 Score:118572.87836157737 Successful:True Number of Steps:84
Episode:11 Score:113492.54422597293 Successful:True Number of Steps:59
Episode:12 Score:108841.9426141236 Successful:True Number of Steps:40
Episode:13 Score:113413.65668956764 Successful:True Number of Steps:62
Episode:14 Score:123647.49817434425 Successful:False Number of Steps:500
Episode:15 Score:102074.57453639289 Successful:True Number of Steps:10
Episode:16 Score:110984.22741973728 Successful:True Number of Steps:51
Episode:17 Score:118359.63802443212 Successful:True Number of Steps:85
Episode:18 Score:114620.82530306009 Successful:True Number of Steps:68
Episode:19 Score:115362.94872152554 Successful:True Number of Steps:69
Episode:20 Score:108746.68089347334 Successful:True Number of Steps:40
Episode:21 Score:179859.76292062528 Successful:True Number of Steps:372
Episode:22 Score:129678.1230711492 Successful:True Number of Steps:132
Episode:23 Score:135024.6644373238 Successful:True Number of Steps:160
Episode:24 Score:148453.9055038959 Successful:True Number of Steps:216
Episode:25 Score:115756.32047226514 Successful:True Number of Steps:71
Episode:26 Score:130703.72825480755 Successful:True Number of Steps:137
Episode:27 Score:106387.5998885452 Successful:True Number of Steps:31
Episode:28 Score:112546.59234075372 Successful:True Number of Steps:58
Episode:29 Score:120691.2759899174 Successful:True Number of Steps:95
Episode:30 Score:103604.0785356927 Successful:True Number of Steps:18
number successful: 29
RESULTS FOR STARTING POSITION: (9,12)
Episode:1 Score:127625.74148317342 Successful:False Number of Steps:500
Episode:2 Score:122187.57126926407 Successful:False Number of Steps:500
Episode:3 Score:126873.4705071919 Successful:False Number of Steps:500
Episode:4 Score:127653.37701165254 Successful:False Number of Steps:500
Episode:5 Score:122603.90137784921 Successful:False Number of Steps:500
Episode:6 Score:121816.27528911222 Successful:False Number of Steps:500
Episode:7 Score:120537.40558043872 Successful:False Number of Steps:500
Episode:8 Score:126581.4798238218 Successful:False Number of Steps:500
Episode:9 Score:122678.41360528399 Successful:False Number of Steps:500
Episode:10 Score:127617.97483834939 Successful:False Number of Steps:500
Episode:11 Score:127651.2349811665 Successful:False Number of Steps:500
Episode:12 Score:129516.28838546234 Successful:False Number of Steps:500
Episode:13 Score:129269.7890558763 Successful:False Number of Steps:500
Episode:14 Score:125204.83627297172 Successful:False Number of Steps:500
Episode:15 Score:129016.00969885408 Successful:False Number of Steps:500
Episode:16 Score:127904.44644816089 Successful:False Number of Steps:500
Episode:17 Score:127351.35666119351 Successful:False Number of Steps:500
Episode:18 Score:126658.57541208997 Successful:False Number of Steps:500
Episode:19 Score:128933.50069573133 Successful:False Number of Steps:500
Episode:20 Score:125638.79139203897 Successful:False Number of Steps:500
Episode:21 Score:124689.81290131668 Successful:False Number of Steps:500
Episode:22 Score:116585.350247987 Successful:False Number of Steps:500
Episode:23 Score:121955.71912987586 Successful:False Number of Steps:500
Episode:24 Score:127921.38413396999 Successful:False Number of Steps:500
Episode:25 Score:120778.45334179065 Successful:False Number of Steps:500
Episode:26 Score:128179.52490354607 Successful:False Number of Steps:500
Episode:27 Score:129521.33891164014 Successful:False Number of Steps:500
Episode:28 Score:127371.64515580237 Successful:False Number of Steps:500
Episode:29 Score:126303.23818692635 Successful:False Number of Steps:500
Episode:30 Score:128649.4375382121 Successful:False Number of Steps:500
number successful: 0
RESULTS FOR STARTING POSITION: (31,22)
Episode:1 Score:111788.2193713948 Successful:False Number of Steps:500
Episode:2 Score:116230.94473861832 Successful:False Number of Steps:500
Episode:3 Score:151047.70935090663 Successful:True Number of Steps:223
Episode:4 Score:124460.18635843747 Successful:True Number of Steps:111
Episode:5 Score:185602.21541725687 Successful:True Number of Steps:383
Episode:6 Score:203007.52720709937 Successful:True Number of Steps:464
Episode:7 Score:117022.40869063308 Successful:True Number of Steps:78
Episode:8 Score:205177.31998507318 Successful:True Number of Steps:473
Episode:9 Score:126161.78215676469 Successful:True Number of Steps:120
Episode:10 Score:111600.79428051757 Successful:False Number of Steps:500
Episode:11 Score:126782.74062069379 Successful:True Number of Steps:121
Episode:12 Score:109136.2743871084 Successful:False Number of Steps:500
Episode:13 Score:188596.98087203343 Successful:True Number of Steps:396
Episode:14 Score:151661.2428524886 Successful:True Number of Steps:226
Episode:15 Score:207979.43327722838 Successful:True Number of Steps:493
Episode:16 Score:151937.62431992945 Successful:True Number of Steps:229
Episode:17 Score:109392.71653504147 Successful:False Number of Steps:500
Episode:18 Score:112052.23936776553 Successful:False Number of Steps:500
Episode:19 Score:116665.81756339107 Successful:False Number of Steps:500
Episode:20 Score:111741.81055426359 Successful:False Number of Steps:500
Episode:21 Score:113191.75143835603 Successful:False Number of Steps:500
Episode:22 Score:117396.43627651993 Successful:False Number of Steps:500
Episode:23 Score:114490.66519526092 Successful:False Number of Steps:500
Episode:24 Score:182311.13319429662 Successful:True Number of Steps:378
Episode:25 Score:163582.39078534377 Successful:True Number of Steps:280
Episode:26 Score:203388.06005415344 Successful:True Number of Steps:471
Episode:27 Score:199306.23218639893 Successful:True Number of Steps:442
Episode:28 Score:152161.46199295117 Successful:True Number of Steps:234
Episode:29 Score:113276.48486451391 Successful:False Number of Steps:500
Episode:30 Score:195227.03954307007 Successful:True Number of Steps:441
number successful: 18
RESULTS FOR STARTING POSITION: (3,18)
Episode:1 Score:158744.41081915406 Successful:True Number of Steps:245
Episode:2 Score:161142.44283654308 Successful:True Number of Steps:271
Episode:3 Score:114998.38656559419 Successful:False Number of Steps:500
Episode:4 Score:113442.95413165286 Successful:False Number of Steps:500
Episode:5 Score:126234.35784133206 Successful:False Number of Steps:500
Episode:6 Score:114154.64285561984 Successful:False Number of Steps:500
Episode:7 Score:125755.95483439045 Successful:False Number of Steps:500
Episode:8 Score:125000.13197018814 Successful:False Number of Steps:500
Episode:9 Score:113560.36318768849 Successful:False Number of Steps:500
Episode:10 Score:126464.3734776499 Successful:False Number of Steps:500
Episode:11 Score:203510.10419258638 Successful:True Number of Steps:431
Episode:12 Score:124884.04290256622 Successful:False Number of Steps:500
Episode:13 Score:124750.86842073948 Successful:False Number of Steps:500
Episode:14 Score:118472.10823853203 Successful:True Number of Steps:81
Episode:15 Score:121375.11239941583 Successful:False Number of Steps:500
Episode:16 Score:186029.28877920093 Successful:True Number of Steps:348
Episode:17 Score:117401.40005684657 Successful:True Number of Steps:79
Episode:18 Score:111177.62144867874 Successful:False Number of Steps:500
Episode:19 Score:163316.0802683555 Successful:True Number of Steps:280
Episode:20 Score:171692.58554595488 Successful:True Number of Steps:314
Episode:21 Score:117383.60087738847 Successful:False Number of Steps:500
Episode:22 Score:172472.7080834339 Successful:True Number of Steps:323
Episode:23 Score:109298.01756985117 Successful:False Number of Steps:500
Episode:24 Score:200271.70469370682 Successful:True Number of Steps:432
Episode:25 Score:186995.12188877483 Successful:True Number of Steps:365
Episode:26 Score:127468.13394109055 Successful:False Number of Steps:500
Episode:27 Score:185082.12232097652 Successful:True Number of Steps:368
Episode:28 Score:123726.2513960895 Successful:False Number of Steps:500
Episode:29 Score:187238.10587442087 Successful:True Number of Steps:385
Episode:30 Score:121454.3802606748 Successful:False Number of Steps:500
number successful: 13
--------------------------------
average percent successful (APS): 0.45
average number of steps of episodes that succeeded (ANSES): 111.24444444444444
